tweet,id,name,location,topic,created_at,processed_on
I got my 2nd @pfizer vaccine shot yesterday. It was tough for me last night and earlier today but I'm feeling bette… https://t.co/1SAHf0yqnQ,1392214492939948034,TPac 💥,"Washington, DC",PfizerVaccine ,Tue May 11 20:26:15 +0000 2021,2021-05-11 21:07:54
"Ah yes, it is finally safe for me to turn my 5G modem on. #PfizerVaccine",1392214307916632064,Zachary Davis,,PfizerVaccine ,Tue May 11 20:25:31 +0000 2021,2021-05-11 21:07:54
"Dr. Pia Fenimore, vice-chair of pediatrics at @LGHealth  and a pediatrician with Lancaster Pediatric Associates, sa… https://t.co/VPAlA7Yxlv",1392213925123567618,Avery Van Etten,,PfizerVaccine ,Tue May 11 20:24:00 +0000 2021,2021-05-11 21:07:54
I got my first shot today #PfizerVaccine,1392213410327183371,marc goovaerts🇪🇺🏳️‍🌈,"Brussels, Belgium",PfizerVaccine ,Tue May 11 20:21:57 +0000 2021,2021-05-11 21:07:54
"Just got my first #PfizerVaccine #covid shot! No side effects so far but they have me waiting just to make sure :)

Thanks, Alberta Health!",1392212016866099200,AlexInModeration,,PfizerVaccine ,Tue May 11 20:16:25 +0000 2021,2021-05-11 21:07:54
"Woo, this girl's DONE getting shots! 2 for 2... that is until the boosters. If there are any needed. 

#PfizerVaccine #PfizerGang #Pfizer",1392211828382502914,Talia Al Ghul Deserves Better! #StopTheTaliaHate,Gotham City,PfizerVaccine ,Tue May 11 20:15:40 +0000 2021,2021-05-11 21:07:54
"@MARYau_MCU_PH @lionel_case Vaccinated with #PfizerVaccine 
Both shots 4 weeks apart",1392210829823578124,Meryl PharmD 💉💉 #CovidAndFungus,"Paris, France ",PfizerVaccine ,Tue May 11 20:11:42 +0000 2021,2021-05-11 21:07:54
Second vaccine has absolutely killed be off today! Has anyone else been worse with the second vaccine than the firs… https://t.co/RBdMYKc5iM,1392210781777895435,Chloe Anne,"Manchester, England",PfizerVaccine ,Tue May 11 20:11:31 +0000 2021,2021-05-11 21:07:54
"Round 2, done. #GetVaccinated #PfizerVaccine",1392210329434836996,✨Heather✨,"Nashville, TN",PfizerVaccine ,Tue May 11 20:09:43 +0000 2021,2021-05-11 21:07:54
Second #PfizerVaccine ✅ #vaccinate https://t.co/mxiQSM3HDa,1392209246083764226,Melissa,"Austin, TX",PfizerVaccine ,Tue May 11 20:05:24 +0000 2021,2021-05-11 21:07:54
Tempting? Staying in Dracula's Castle and getting a free free Pfizer BioNTech vaccine. At least they're not asking… https://t.co/h6DGR3PywW,1392207898378440711,105.5 The Dove,"Tampa Bay, FL",PfizerVaccine ,Tue May 11 20:00:03 +0000 2021,2021-05-11 21:07:54
"Catch me on @10TV TONIGHT at 
5pm and 6pm! LIVE Q&amp;A about the #PfizerVaccine for 12-15 year olds!
@OSUWexMed",1392207344323399682,Dr Iahn Gonsenhauser,"Columbus, OH",PfizerVaccine ,Tue May 11 19:57:51 +0000 2021,2021-05-11 21:07:54
5/11/21 COVID-19 Update – 11 new positive cases; 2 positive serology; 29 new recoveries; 0 new deaths. @US_FDA has… https://t.co/934hjRQ2ZE,1392206276105494529,Black Hawk County Health Department,"Waterloo, Iowa",PfizerVaccine ,Tue May 11 19:53:36 +0000 2021,2021-05-11 21:07:54
"Quick assignmetns and quality work in eduation 
DM wtsapp +923029083907

physics
wave oscillation
fluid dynamics
ho… https://t.co/v5ckt03Dfv",1392204697717682178,Online Physics tutor // Quizz // Assignments / lab,24/7 unites kingdom,PfizerVaccine ,Tue May 11 19:47:20 +0000 2021,2021-05-11 21:07:54
