tweet,id,name,location,topic,created_at,processed_on
vax boy summer pt. 1 😷 #vaccinated https://t.co/4Sz8eNzVbe,1392256491944497154,Tom // overcast ☁️,"San Francisco, CA",Vaccinated ,Tue May 11 23:13:09 +0000 2021,2021-05-11 21:09:19
"Goodbye quarantine hair.......
Time for new horizons....
#vaccinated https://t.co/WjaY1DJbc3",1392256103963058186,Deb The.Mask.Goes.Over.Your.Nose!!! Mirek,,Vaccinated ,Tue May 11 23:11:36 +0000 2021,2021-05-11 21:09:19
".@YouTube is making #vaccinehesitancy worse. 

#Covid #COVID19 #vaccinate #vaccinated #vaccine #VaccinesWork… https://t.co/5RhMNaGQ20",1392255746616745988,Linda,Everywhere,Vaccinated ,Tue May 11 23:10:11 +0000 2021,2021-05-11 21:09:19
Did you get vaccinated yet? #curious #vaccine #vaccinate #vaccinated,1392255324791390209,Shawn Puffy Novatt,"Levittown, NY",Vaccinated ,Tue May 11 23:08:30 +0000 2021,2021-05-11 21:09:19
Second vaccine jab in the books. Who wants a hug in two weeks?! #vaccinated,1392255288191852546,🇺🇸 §Seth 🇺🇸,"San Francisco, CA",Vaccinated ,Tue May 11 23:08:22 +0000 2021,2021-05-11 21:09:19
Just got my third covid shot #vaccinated,1392255176245919745,burned roasted,"Fort Lauderdale, FL",Vaccinated ,Tue May 11 23:07:55 +0000 2021,2021-05-11 21:09:19
100% vaccinated. #vaccinated #VaccinationForAll https://t.co/HuDHhoSCDX,1392255011883728897,Ted Shoue,,Vaccinated ,Tue May 11 23:07:16 +0000 2021,2021-05-11 21:09:19
In-person media training is back! On-camera coaching with the successful owner of an international textile company.… https://t.co/fDNTm0o6BP,1392254700297326597,Rich Dubek,"Tempe, AZ/Flagstaff",Vaccinated ,Tue May 11 23:06:02 +0000 2021,2021-05-11 21:09:19
"Communities in Shanghai, #China, are urging people to get #vaccinated—promising money and coupons as compensation.… https://t.co/w9DsEogWnZ",1392254448035053570,NTD News,"New York, NY",Vaccinated ,Tue May 11 23:05:01 +0000 2021,2021-05-11 21:09:19
"I am VACCINATED

#COVID19Vaccination #vaccinated #Covishield #CovishieldVaccine #CoronavirusPandemic #coronavirus… https://t.co/wgud2mw8XH",1392254430381174785,Ä ß,"New Delhi, India",Vaccinated ,Tue May 11 23:04:57 +0000 2021,2021-05-11 21:09:19
"...On that note, I got my first vaccine today from Pfizer! The person who gave it to me was a 3rd year nursing stud… https://t.co/gWfdiF1Dyw",1392254341210284032,#LandBack,Amiskwacîwâskahikan ,Vaccinated ,Tue May 11 23:04:36 +0000 2021,2021-05-11 21:09:19
First dose today! #vaccinated #COVID19Vaccination https://t.co/gSBsx3J5BH,1392254174230892545,Tiff,,Vaccinated ,Tue May 11 23:03:56 +0000 2021,2021-05-11 21:09:19
#vaccinated @ Canada Place. Celebrated with a 1HR walk home in the sunshine &amp; feeling grateful for all those who ma… https://t.co/OmVb6zlFCD,1392253941874708485,Ken Henderson,"Vancouver, B.C.",Vaccinated ,Tue May 11 23:03:01 +0000 2021,2021-05-11 21:09:19
@jkenney @CMOH_Alberta Take the experimental vaccine!  I did and i feel great! #vaccinated https://t.co/eLRaWVAiwH,1392253877953564672,Bernie_Lomax,,Vaccinated ,Tue May 11 23:02:45 +0000 2021,2021-05-11 21:09:19
